id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
names,sources,0.578,0.6077,0.3489,0.37,0.37,0.54,0.48,0.36,0.81,0.81
minx,ymax,0.1168,0.6862,0.0404,0.58,0.58,0.79,0.66,0.31,0.83,0.83
cols,domains,0.25,0.4294,0.1819,0.19,0.19,0.47,0.25,0.14,0.72,0.72
ELEMENT_ARRAY_BUFFER,bufferData,0.5312,0.8366,0.875,0.51,0.51,0.75,0.9,0.63,0.55,0.55
equals,same,0.8333,0.9346,0.7225,0.58,0.58,0.68,0.62,0.67,0.65,0.65
nextTick,notification,0.1345,0.2356,NAN,0.32,0.32,0.43,0.5,0.28,0.33,0.33
cfg,conf,0.9445,0.8546,0.9428,0.43,0.43,0.66,0.59,0.4,0.73,0.73
wrapper,scroller,0.3845,0.477,0.0404,0.39,0.39,0.52,0.58,0.51,0.69,0.69
userA,userB,0.4605,0.9174,0.7958,0.95,0.95,0.94,0.98,0.93,0.97,0.97
columns,datasets,0.1875,0.4278,NAN,0.48,0.48,0.53,0.49,0.51,0.71,0.71
limit,exponent,0.1537,0.3562,NAN,0.19,0.19,0.5,0.35,0.3,0.77,0.77
onTouchStart,onTouchMove,0.4545,0.7861,0.9397,0.88,0.88,0.92,0.96,0.82,0.96,0.96
sender,timeEnd,0.0625,0.1064,NAN,0.12,0.12,0.45,0.26,-0.07,0.43,0.43
scaleX,scaleY,0.1668,0.9783,NAN,0.97,0.97,0.97,0.99,0.87,0.95,0.95
ui,secret,0.0735,0.0463,0.3489,0.05,0.05,0.5,0.22,-0.0,0.54,0.54
builtinConstants,buildinConstants,0.6315,0.8073,0.9023,0.91,0.91,0.92,0.92,0.82,0.97,0.97
objects,images,NAN,NAN,0.8986,0.33,0.33,0.58,0.54,0.36,0.73,0.73
items,images,NAN,NAN,0.8436,0.39,0.39,0.6,0.44,0.36,0.83,0.83
items,links,NAN,NAN,0.7983,0.39,0.39,0.57,0.46,0.45,0.75,0.75
canvas,image,NAN,NAN,0.9397,0.47,0.47,0.68,0.67,0.46,0.71,0.71
files,filenames,NAN,NAN,0.9186,0.8,0.8,0.76,0.75,0.55,0.78,0.78
margin,padding,NAN,NAN,0.9369,0.62,0.62,0.74,0.69,0.64,0.87,0.87
destroy,dispose,NAN,NAN,0.3022,0.48,0.48,0.63,0.65,0.55,0.85,0.85
